,en,ar,cn
0,OPEN,مفتوح ,
1,CLOSED,مغلق ,
2,ENTRANCE,دخول ,
3,EXIT,خروج ,
4,PUSH,ادفع ,
5,PULL,اسحب ,
6,TOILET,حمام ,
7,MEN,رجال ,
8,WOMEN,سيدات ,
9,FORBIDDEN,ممنوع ,
10,Goodbye,مع السلامة   ,
11,Goodbye (informal),باي باي  ,
12,I can't speak Arabic [well].,لا اتكلم عربي جيدا    ,
13,Do you speak English?,هل تتكلم الانجليزية   ,
14,Do you speak English?,هل تتكلم الإنجليزية؟   ,
15,Is there someone here who speaks English?,حد بيتكلم انجليزي؟    ,
16,Help!,النجدة ; إلحقوني ,
17,Look out!,انتبه ,
18,Good night.,تصبح على خير   ,
19,I don't understand.,لا افهم  ,
20,Where is the toilet?,وين/فين الحمام؟ / ,
21,Leave me alone.,,
22,Don't touch me!,لا تلمسني ,
23,I'll call the police.,سأتصل بالشرطة‏ ‎,
24,Police!,  ,
25,Stop! Thief!,اوقف حرامي‏ ‎,
26,I need your help.,محتاج مساعدة لو سمحت ,
27,Medical emergency,إسعاف ,
28,I'm lost.,أنا تايه ,
29,I lost my bag.,,
30,I lost my wallet.,,
31,I'm sick.,,
32,I've been injured.,إنني مصاب,
33,I need a doctor.,,
34,Can I use your phone?,,
35,٠,,
36,١,,
37,٢,,
38,٣,,
39,٤,,
40,٥,,
41,٦,,
42,٧,,
43,٨,,
44,٩,,
45,0,صفر ,
46,1,واحد ,
47,2,إثنان ,
48,3,ثلاثة ,
49,4,اربعة ,
50,5,خمسة ,
51,6,ستة ,
52,7,سبعة ,
53,8,ثمانية ,
54,9,تسعة ,
55,10,عشرة ,
56,11,احد عشر  ,
57,12,اثنا عشر  ,
58,13,ثلاثة عشر  ,
59,14,اربعة عشر  ,
60,15,خمسة عشر  ,
61,16,ستة عشر  ,
62,17,سبعة عشر  ,
63,18,ثمانية عشر  ,
64,19,تسعة عشر  ,
65,20,عشرون ,
66,21,واحد وعشرون  ,
67,22,اثنان وعشرون  ,
68,23,ثلاثة وعشرون  ,
69,30,ثلاثون ,
70,40,اربعون ,
71,50,خمسون ,
72,60,ستون ,
73,70,سبعون ,
74,80,ثمانون ,
75,90,تسعون ,
76,100,مئة ,
77,200,مئتين ,
78,300,ثلاث مئة  ,
79,1000,الف    ,
80,2000,الفين ,
81,"1,000,000",مليون ,
82,"1,000,000,000",مليار‎ بليون  ,
83,"1,000,000,000,000",تريليون ,
84,"number _____ (train, bus, etc.)",رقم /  ,
85,half,نصف ,
86,less,اقل ,
87,more,اكثر ,
88,Go,ذهب ,
89,Stop,وقف ,
90,Turn left,لف يسار  ,
91,Turn right,لف يمين  ,
92,straight ahead,إلى الامام  ; على طول   ,
93,straight ahead,على طول ,
94,slowly,ببطء ; شوي شوي   ,
95,Wait or stay,انتظر ,
96,Show me.,أرني ,
97,here,هنا ,
98,there,هناك ,
99,before,قبل ,
100,before,قبل ,
101,after,بعد ,
102,now,الأن ,
103,now,الآن ,
104,from,من ,
105,to or at (a place),إلى ,
106,Wait one minute.,إنتظر دقيقه واحده   ,
107,I,انا ,
108,you (m),أنتَ ;  ,
109,you (f),أنتِ ;   ,
110,he,هو ;   ,
111,she,هي ;   ,
112,we,نحن ; احنا‎ نحنا ,
